Country,Year,Ministry Or Department,Additional Info,Pay  (UOM:INR(IndianRupees)),Dearness Allowance (UOM:INR(IndianRupees)),House Rent Allowance (UOM:INR(IndianRupees)),Compensatory City Allowance (Cca) (UOM:INR(IndianRupees)),Overtime Allowance (Ota) (UOM:INR(IndianRupees)),Others (UOM:INR(IndianRupees)),Travel Allowances (UOM:INR(IndianRupees)),Bonus (UOM:INR(IndianRupees)),Honorarium (UOM:INR(IndianRupees)),Encashment Of Earned Leave(El) (UOM:INR(IndianRupees)),Transport (UOM:INR(IndianRupees))
India,"Financial Year (Apr - Mar), 2019",EXTERNAL AFFAIRS,Excluding missions abroad(*),463.92,61.6,42.05,,0.02,18.22,75.36,1.07,0.08,31.73,23.11
India,"Financial Year (Apr - Mar), 2016",POSTS,,7417.56,1473.04,436.04,,10.52,362.18,69.45,545.43,13.85,320.42,436.16
India,"Financial Year (Apr - Mar), 2009",INFORMATION AND BROADCASTING,,120.64,28.03,13.48,,0.61,8.88,6.17,1.32,0.4,3.16,7.65
India,"Financial Year (Apr - Mar), 2008",PETROLEUM AND NATURAL GAS,,5.29,1.13,0.83,0.05,0.09,0.45,0.96,0.04,0.01,0.22,0.43
India,"Financial Year (Apr - Mar), 2009",MINES,,287.46,62.84,38.56,,0.29,13.49,16.38,2.05,0.55,5.75,18.6
India,"Financial Year (Apr - Mar), 2010",MINORITY AFFAIRS,,4.79,1.95,0.71,,0.04,0.46,0.45,0.03,0.05,0.38,0.47
India,"Financial Year (Apr - Mar), 2005",ATOMIC ENERGY,,447.93,86.6,37.52,7.04,15.51,50.01,36.14,8.88,0.27,12.82,2.49
India,"Financial Year (Apr - Mar), 2005",LAW AND JUSTICE,,30.16,5.86,4.53,0.83,0.33,1.63,1.76,0.38,0.21,0.34,0.63
India,"Financial Year (Apr - Mar), 2013",STATISTICS AND PROGRAMME IMPLEMENTATION,,102.91,90.11,26.21,,0.05,13.24,16.95,1.37,0.1,16.3,14.45
India,"Financial Year (Apr - Mar), 2016",HEAVY INDUSTRY,,11.71,3.18,0.81,,0.01,0.79,1.7,0.13,0.08,0.2,1.03
India,"Financial Year (Apr - Mar), 2021",VICE PRESIDENT'S SECRETARIAT,,2.96,0.77,0.18,,0,0.22,0.04,0.03,0.01,0,0.3
India,"Financial Year (Apr - Mar), 2021",REVENUE,,7096.53,1809.61,922.55,,1.48,306.61,149.88,39.52,5.43,57.12,446.1
India,"Financial Year (Apr - Mar), 2020",LABOUR AND EMPLOYMENT,,269.74,45.74,31.91,,0.05,19,9.53,2.06,0.5,12.08,16.49
India,"Financial Year (Apr - Mar), 2018",POSTS,,9025.15,855.66,1004.79,,9.02,895.35,153.8,245.57,6.43,408.66,489.89
India,"Financial Year (Apr - Mar), 2008",POSTS,Including Grameena Dak Seva(##).,3746.3,870.23,368.42,13.85,39.12,123.98,45.21,262.28,7.51,132.4,134.72
India,"Financial Year (Apr - Mar), 2005",YOUTH AFFAIRS AND SPORTS,,4.48,0.95,0.6,0.09,0.12,0.43,0.55,0.07,0.01,0.09,0.06
India,"Financial Year (Apr - Mar), 2001","EDUCATION ( ELEMENTARY , SECONDAY AND HIHGER SEC . )",,1495.41,670.74,179.16,29.18,33.67,78.63,105.16,37.41,3.84,21.91,35.67
India,"Financial Year (Apr - Mar), 2006",HOME AFFAIRS,,4977.42,1397.57,174.6,62.29,1.53,488.96,451.31,156.29,2.43,73.37,9.14
India,"Financial Year (Apr - Mar), 2012",RAILWAYS,,18566.77,12147.21,2001.18,,791.65,2965.86,1272,1007.42,14.14,891.21,2088.13
India,"Financial Year (Apr - Mar), 2019",PARLIAMENTARY AFFAIRS,,8.06,1.21,0.97,,0,0.71,0.68,0.07,0.21,0.53,0.71
India,"Financial Year (Apr - Mar), 2015",CABINET SECRETARIAT,,8.05,9.26,0.97,,0.01,0.59,0.6,0.06,0.13,0.54,1.33
India,"Financial Year (Apr - Mar), 2020",PARLIAMENTARY AFFAIRS,,8.18,1.4,1.23,,0.01,1.33,0.35,0.06,0.01,0.75,0.71
India,"Financial Year (Apr - Mar), 2012",INDIAN AUDIT AND ACCOUNTS DEPARTMENT,,1094.14,742.93,191.31,,0.16,108.44,113.04,9.48,4.85,53.49,113.93
India,"Financial Year (Apr - Mar), 2015",REVENUE,,2364.5,2742.84,379.32,,8.22,282.83,137.44,20.01,2.41,67.59,264.65
India,"Financial Year (Apr - Mar), 2019","PORTS , SHIPPING AND WATERWAYS",,101.85,14.88,9.53,,0,11.41,10.42,0.9,0.08,4.06,6.34
India,"Financial Year (Apr - Mar), 2006",PUBLIC ENTERPRISES,,1.34,0.38,0.14,0.02,0.05,0.08,0.3,0.02,0,0,0.01
India,"Financial Year (Apr - Mar), 2014",COAL,,7.38,7.73,1.28,,0.02,1.35,1.31,0.08,0.09,0.33,1.2
India,"Financial Year (Apr - Mar), 2007",VICE PRESIDENT'S SECRETARIAT,,0.46,0.19,0.04,0.01,0.05,0.03,0.01,0.01,0.01,0,0.01
India,"Financial Year (Apr - Mar), 2001",LABOUR,,6454.15,2809.66,726.08,127.97,46.86,281.31,447.56,122.07,14.41,223.06,199.68
India,"Financial Year (Apr - Mar), 2010",AYUSH,,4.36,1.93,0.93,,0.01,0.58,0.89,0.03,0,0.36,0.5
India,"Financial Year (Apr - Mar), 2009",LABOUR AND EMPLOYMENT,,207.18,41.44,16.08,,0.28,12.22,12.22,1.96,0.32,4.57,11.04
India,"Financial Year (Apr - Mar), 2018",DISINVESTMENT,,5.64,0.49,0.61,,0,0.66,1.96,0.02,0.02,0.24,0.35
India,"Financial Year (Apr - Mar), 2016",PANCHAYATI RAJ,,5.94,1.84,0.43,,0.01,0.35,0.6,0.04,0.05,0.4,0.46
India,"Financial Year (Apr - Mar), 2021",SCIENTIFIC AND INDUSTRIAL RESEARCH,,7.32,1.87,0.9,,0,0.61,0.02,0.01,0.02,0,0.59
India,"Financial Year (Apr - Mar), 2010",BIO - TECHNOLOGY,,4.52,1.89,0.87,,0.04,0.5,1.95,0.04,0.06,0.35,0.5
India,"Financial Year (Apr - Mar), 2021",MINES,,506.31,133.92,81.01,,0,26.52,37.82,2.39,0.37,26.85,43.92
India,"Financial Year (Apr - Mar), 2010",STATISTICS AND PROGRAMME IMPLEMENTATION,,115.65,46,21.85,,0.16,10.65,13.29,1.36,0.08,5.81,11.89
India,"Financial Year (Apr - Mar), 2009",TOURISM,,13.76,2.25,1.81,,0.05,0.69,1.94,0.12,0.08,0.38,0.88
India,"Financial Year (Apr - Mar), 2019","PERSONNEL , PUBLIC GRIEVANCES AND PENSIONS",,535.05,82.21,78.21,,0.21,42.87,43.53,2.56,1.23,12.6,41.51
India,"Financial Year (Apr - Mar), 2001",AGRICULTURE AND COOPERATION,,4519.54,1981.68,562.03,98.94,39.26,231.09,335.26,112.47,11.03,67.37,106.29
India,"Financial Year (Apr - Mar), 2013",CORPORATE AFFAIRS,,38.54,33.91,6.61,,0.05,4.55,3.15,0.28,0.09,2.37,5.65
India,"Financial Year (Apr - Mar), 2006",PARLIAMENTARY AFFAIRS,,1.65,0.46,0.28,0.05,0.05,0.11,0.77,0.02,0.01,0.05,0.04
India,"Financial Year (Apr - Mar), 2006",DEVELOPMENT OF NE REGION,,3,0.83,0.45,0.04,0.07,0.21,0.65,0.04,0.01,0.1,0.03
India,"Financial Year (Apr - Mar), 2020","PERSONNEL , PUBLIC GRIEVANCES AND PENSIONS",,550.77,96.08,84.3,,0.17,62.76,25.78,3.33,0.54,19.51,41.6
India,"Financial Year (Apr - Mar), 2009",UNION PUBLIC SERVICE COMMISSION,,44.4,9.33,5.55,,0.12,3.1,1.62,0.45,1.42,1.87,4.01
India,"Financial Year (Apr - Mar), 2014",VICE PRESIDENT'S SECRETARIAT,,0.87,0.98,0.05,,0.05,0.2,0.02,0.01,0,0.07,0.18
India,"Financial Year (Apr - Mar), 2012",RURAL DEVELOPMENT,,11.1,7.54,1.94,,0.05,1.04,2.54,0.09,0.07,0.1,1.16
India,"Financial Year (Apr - Mar), 2021",CHEMICALS AND PETROCHEMICALS,,11.25,2.96,1.46,,0,0.96,0.43,0.07,0.1,0.65,0.81
India,"Financial Year (Apr - Mar), 2002",RAILWAYS,,787619.84,393529.05,70796.89,10348.37,18160.88,55162.32,34050.77,72901.09,2562.75,20503.85,10897.81
India,"Financial Year (Apr - Mar), 2021",PRESIDENT'S SECRETARIAT,,26.5,7.01,0.83,,0.04,1.97,0.08,0.17,0.19,0.9,2.1
India,"Financial Year (Apr - Mar), 2010",ROAD TRANSPORT AND HIGHWAYS,,35.96,15.55,6.66,,0.21,3.85,3.36,0.3,0.43,2.22,4.19
India,"Financial Year (Apr - Mar), 2021",BIO - TECHNOLOGY,,14.38,3.74,1.44,,0,0.57,0.4,0.09,0.08,1.23,1.24
India,"Financial Year (Apr - Mar), 2001",PARLIAMENTARY AFFAIRS,,100.19,45.15,16.98,3.5,5.75,2.72,72.78,2.74,1.75,3.69,3.55
India,"Financial Year (Apr - Mar), 2014",ATOMIC ENERGY,,936.57,941.99,93.63,,34.88,444.15,43.55,0,0.56,59.26,106.98
India,"Financial Year (Apr - Mar), 2018",NEW AND RENEWABLE ENERGY,,18.7,1.61,2.58,,0,1.93,1.84,0.09,0.08,0.25,1.49
India,"Financial Year (Apr - Mar), 2017",WATER RESOURCES,,460.1,25.61,60.07,,0.03,27.87,26.47,4.52,0.41,4.25,27.95
India,"Financial Year (Apr - Mar), 2012",UNION PUBLIC SERVICE COMMISSION,,30.75,22.91,5.7,,0.1,5.91,1.55,0.37,0.8,2.18,5.24
India,"Financial Year (Apr - Mar), 2009",CHEMICALS AND PETROCHEMICALS,,9.12,1.79,1.14,,0.12,0.82,1.04,0.05,0.12,0.1,0.61
India,"Financial Year (Apr - Mar), 2005",AYUSH,,2.87,0.6,0.28,0.04,0.01,0.16,0.49,0.06,0,0,0.03
India,"Financial Year (Apr - Mar), 2009",PETROLEUM AND NATURAL GAS,,6.93,1.39,1.04,,0.1,0.92,0.67,0.06,0.02,0.45,0.88
India,"Financial Year (Apr - Mar), 2007",AYUSH,,3.23,1.23,0.45,0.05,0.01,0.21,0.52,0.04,0,0.1,0.03
India,"Financial Year (Apr - Mar), 2013",CABINET SECRETARIAT,,8.95,7.39,1.03,,0.09,1.18,0,0.07,0.12,0.04,1.33
India,"Financial Year (Apr - Mar), 2002",YOUTH AFFAIRS AND SPORTS,,276.53,143.97,49.61,8.55,11.63,13.61,146.78,7.74,1.14,12.39,8.84
India,"Financial Year (Apr - Mar), 2019",YOUTH AFFAIRS AND SPORTS,,21.6,3.24,2.59,,0,1.5,2.01,0.19,0.03,0,1.62
India,"Financial Year (Apr - Mar), 2015",INDIAN AUDIT AND ACCOUNTS DEPARTMENT,,1097.8,1273.49,201.08,,1.83,133.11,163.47,8.19,2.1,55.95,144.92
India,"Financial Year (Apr - Mar), 2010",LABOUR AND EMPLOYMENT,,157.02,63.72,16.47,,0.13,16.97,13.47,1.72,0.23,4.31,10.24
India,"Financial Year (Apr - Mar), 2007",OVERSEAS INDIAN AFFAIRS,,2.01,0.79,0.32,0.05,0.01,0.08,0.8,0.02,0.02,0.12,0.06
India,"Financial Year (Apr - Mar), 2002",PRESIDENT'S SECRETARIAT,,197.23,102.38,5.21,6.93,7.46,17.85,1.47,5.95,5.97,9.14,2.89
India,"Financial Year (Apr - Mar), 2008",ECONOMIC AFFAIRS,,26.65,5.67,3.31,0.21,0.31,2.01,4.06,0.35,0.12,0.64,1.57
India,"Financial Year (Apr - Mar), 2016","CHEMICALS , PETROCHEMICALS AND PHARMACEUTICALS",,10.75,2.48,1.35,,0.02,0.99,1.74,0.09,0.11,0.52,0.73
India,"Financial Year (Apr - Mar), 2001",PRESIDENT'S SECRETARIAT,,195.74,87.97,4.34,6.93,6.31,9.44,0.67,6.05,2.16,5.87,2.39
India,"Financial Year (Apr - Mar), 2014",PARLIAMENTARY AFFAIRS,,3.62,3.76,0.67,,0.03,0.29,1.91,0.03,0.03,0.22,0.49
India,"Financial Year (Apr - Mar), 2003",RURAL DEVELOPMENT,,523.58,302.56,80.86,16.73,16.7,38.11,173.45,10.33,10.08,8.64,18.89
India,"Financial Year (Apr - Mar), 2020",HEALTH AND FAMILY WELFARE,,1878.05,325.61,251.2,,0.15,263.99,36.89,14.15,1.22,31.7,128.69
India,"Financial Year (Apr - Mar), 2009",CORPORATE AFFAIRS,,41.59,8.32,5.3,,0.07,2.36,1.64,0.34,0.05,1.19,3.96
India,"Financial Year (Apr - Mar), 2001",PLANNING ( NITI AYOG ),,1085.46,483.3,175.46,32.91,22.91,39.6,155.6,23.27,1.23,66.97,42.65
India,"Financial Year (Apr - Mar), 2010",UNION PUBLIC SERVICE COMMISSION,,35.01,14.48,5.76,,0.12,3.82,1.61,0.42,1.92,3.04,4.75
India,"Financial Year (Apr - Mar), 2015",EARTH SCIENCES,,118.08,138.1,19,,0.01,19.07,8.75,1.06,0.14,10.39,18.08
India,"Financial Year (Apr - Mar), 2009",EXTERNAL AFFAIRS,Excluding missions abroad(*),92.44,18.95,13.67,,0.18,5.57,57.05,0.76,0.02,4.08,4.24
India,"Financial Year (Apr - Mar), 2018",TOURISM,,24.16,2.02,1.3,,0,0.92,1.28,0.16,0,0.13,1.72
India,"Financial Year (Apr - Mar), 2006",SPACE,,238.65,59.65,20.7,3.03,1.26,34.81,27.62,1.57,0.07,11.78,2.83
India,"Financial Year (Apr - Mar), 2008",VICE PRESIDENT'S SECRETARIAT,,0.92,0.19,0.05,0.01,0.05,0.05,0.01,0.02,0,0,0.05
India,"Financial Year (Apr - Mar), 2008",INDUSTRIAL POLICY AND PROMOTION,,50.69,10.84,6.06,0.53,0.36,2.59,3.11,1.09,0.34,1.47,2.82
India,"Financial Year (Apr - Mar), 2020",AGRICULTURAL RESEARCH AND EDUCATION,,4.54,0.771,0.52,,0,0.12,0.09,0.01,0.01,0.1,0.38
India,"Financial Year (Apr - Mar), 2003",INFORMATION TECHNOLOGY,,5410.78,3113.3,804.15,106.95,28.59,292.57,513.4,49.13,23.93,43.16,225.96
India,"Financial Year (Apr - Mar), 2002",LAW AND JUSTICE,,1859.54,940.04,295.53,51.64,28.61,81.33,133.4,29.16,31.23,14.81,52.33
India,"Financial Year (Apr - Mar), 2021",SPACE,,1453.12,384.2,193.67,,0.34,583.96,22.18,0,65.43,19.82,116.25
India,"Financial Year (Apr - Mar), 2020",NEW AND RENEWABLE ENERGY,,15.82,2.7,2.04,,0,0.93,0.48,0.07,0.06,2.94,1.35
India,"Financial Year (Apr - Mar), 2010",DRINKING WATER AND SANITATION,,2.33,0.99,0.29,,0.01,0.26,0.46,0.02,0.03,0.12,0.26
India,"Financial Year (Apr - Mar), 2015",FERTILIZERS,,7.53,8.81,1.51,,0,1.05,0.08,0.04,0.01,0.72,1.39
India,"Financial Year (Apr - Mar), 2007",CULTURE,,89.72,34.14,11.2,2.44,0.95,4.22,6.63,1.62,0.04,4.99,2.18
India,"Financial Year (Apr - Mar), 2016",LAW AND JUSTICE,,113.08,25.87,8.16,,0.12,6.22,5.47,1.15,0.17,0.71,8.36
India,"Financial Year (Apr - Mar), 2006",POSTS,,2595.13,790.51,253.21,28.22,34.54,100,37.55,212.97,4.54,89.96,22.97
India,"Financial Year (Apr - Mar), 2017","ANIMAL HUSBANDRY , DAIRYING AND FISHERIES",,132.75,6.96,12.3,,0.98,8.19,4.44,1.88,0.4,4.14,8.65
India,"Financial Year (Apr - Mar), 2005",RURAL DEVELOPMENT,,8.42,1.77,0.98,0.15,0.36,0.6,1.79,0.1,0,0,0.09
India,"Financial Year (Apr - Mar), 2017",TELECOMMUNICATIONS,,270.77,14.84,21.59,,0.1,15.19,19.85,0.81,1.54,15.87,15.51
India,"Financial Year (Apr - Mar), 2019",PRIME MINISTER'S OFFICE,,24.7,4.05,2.59,,0.03,2.64,1.08,0.15,0.14,0.4,1.89
India,"Financial Year (Apr - Mar), 2017",INFORMATION AND BROADCASTING,,258.03,13.21,32.3,,0.04,15.5,11.08,2.74,0.57,6.27,19.69
India,"Financial Year (Apr - Mar), 2016",REVENUE,,5168.52,1292.13,386.91,,10.36,300.06,137.44,42.75,2.48,69.97,269.41
India,"Financial Year (Apr - Mar), 2008",SCIENCE AND TECHNOLOGY,,158.87,33.36,15.29,0.74,0.18,8.17,13.1,3.53,0.2,1.96,5.8
India,"Financial Year (Apr - Mar), 2016",TOURISM,,23.39,6.08,1.58,,0.01,3.53,0.64,0.21,0.07,0.09,1.64
India,"Financial Year (Apr - Mar), 2008",AGRICULTURE AND COOPERATION,,97.87,20.88,11.76,0.69,0.25,3,7,1.31,0.6,1.23,5.22
India,"Financial Year (Apr - Mar), 2005",FOOD PROCESSING INDUSTRIES,,2.44,0.51,0.24,0.07,0.08,0.12,0.13,0.03,0.01,0.04,0.03
India,"Financial Year (Apr - Mar), 2016",STATISTICS AND PROGRAMME IMPLEMENTATION,,,,,,,,,,,,
India,"Financial Year (Apr - Mar), 2012",EXPENDITURE,,22.04,15.36,5.48,,0.04,3.19,1.93,0.13,0.13,2.2,3.15
India,"Financial Year (Apr - Mar), 2006",SCIENCE AND TECHNOLOGY,,95.61,26.67,9.72,1.52,0.3,7.65,7.69,2,0.31,0.56,1.24
India,"Financial Year (Apr - Mar), 2014",ROAD TRANSPORT AND HIGHWAYS,,22.95,24.27,4.53,,0.01,3.46,4.25,0.17,0.22,1.52,3.88
India,"Financial Year (Apr - Mar), 2018",CONSUMER AFFAIRS,,65.99,5.8,11.99,,0.01,3.94,1.84,0.4,0.06,1.02,4.44
India,"Financial Year (Apr - Mar), 2012",DISINVESTMENT,,1.8,1.13,0.22,,0,0.16,1.05,0.01,0.01,0.3,0.21
India,"Financial Year (Apr - Mar), 2002",INDUSTRIAL DEVELOPMENT,,2246.18,1142.96,249.96,39.6,29.77,123.55,212.49,53.18,7.62,19.13,45.53
India,"Financial Year (Apr - Mar), 2007",COMMERCE,,87.11,34.21,15.34,2.39,1.4,5.02,17.83,1.14,0.41,1.23,1.79
India,"Financial Year (Apr - Mar), 2016",VICE PRESIDENT'S SECRETARIAT,,1.84,0.64,0.07,,0.06,0.32,0.23,0.04,0,0,0.22
India,"Financial Year (Apr - Mar), 2009",REVENUE,,2945.17,560.83,362.36,,11.7,184.87,84.78,23.42,5.62,75.03,184.51
India,"Financial Year (Apr - Mar), 2005",PRESIDENT'S SECRETARIAT,,3.11,0.63,0.12,0.09,0.09,0.14,0,0.06,0.1,0.06,0.03
India,"Financial Year (Apr - Mar), 2017",FERTILIZERS,,20,1.17,2.71,,0.02,1.15,0.46,0.09,0.08,0.75,1.73
India,"Financial Year (Apr - Mar), 2021",RURAL DEVELOPMENT,,28.06,7.42,4.18,,0.01,2.41,0.47,0.12,0.12,0.3,2.19
India,"Financial Year (Apr - Mar), 2007",RAILWAYS,,11283.65,4235.37,1210.79,157.72,324.27,965.88,397,732.94,19.04,264.91,109.42
India,"Financial Year (Apr - Mar), 2000",COMPANY AFFAIRS,,1952.68,778.53,182.77,27.14,46.08,143.13,47.42,22.31,0,0,23.24
India,"Financial Year (Apr - Mar), 2008",AYUSH,,4.91,1.03,0.72,0.02,0.02,0.4,0.69,0.06,0.01,0.15,0.11
India,"Financial Year (Apr - Mar), 2019","MICRO , SMALL AND MEDIUM ENTERPRISES",,115.53,17.97,16.38,,0,8.94,3.38,1.08,0.48,3.42,8.91
India,"Financial Year (Apr - Mar), 2019","AGRICULTURE , COOPERATION AND FARMERS WELFARE",,225.62,33.63,31.06,,0,18.3,20.02,0.86,0.25,2.59,18.03
India,"Financial Year (Apr - Mar), 2000",POSTS,,189328.26,69423.76,18509.44,2093.56,4217.44,7234.04,2546.65,16390.88,442.58,3039.8,2626.77
India,"Financial Year (Apr - Mar), 2008",AGRICULTURAL RESEARCH AND EDUCATION,,1.45,0.33,0.16,0.01,0.01,0.11,0.21,0,0,0.03,0.07
India,"Financial Year (Apr - Mar), 2005",INDUSTRIAL POLICY AND PROMOTION,,32.52,6.69,4.32,0.65,0.53,1.59,2.31,0.48,0.05,0.31,0.66
India,"Financial Year (Apr - Mar), 2010",EXTERNAL AFFAIRS,Excluding missions abroad(*),82.01,29.22,11.42,,0.18,18.65,53.93,1.54,0.03,5.22,9.22
India,"Financial Year (Apr - Mar), 2021",COMMERCE,,273.99,71.94,37.04,,0.02,14.55,12.56,1.03,0.48,7.69,16.27
India,"Financial Year (Apr - Mar), 2003",PETROLEUM AND NATURAL GAS,,217.01,125.87,20.7,2.95,5.03,14.73,12.9,4.52,0.27,4.72,3.12
India,"Financial Year (Apr - Mar), 2020",ENVIRONMENT AND FORESTS,,166.68,28.19,25.28,,0.02,12.97,5.56,1.62,0.26,5.4,13.21
India,"Financial Year (Apr - Mar), 2020",BIO - TECHNOLOGY,,15.11,2.56,1.63,,0,0.6,0.33,0.09,0.08,1.29,1.3
India,"Financial Year (Apr - Mar), 2016",INDUSTRIAL POLICY AND PROMOTION,,111.56,28.46,8.21,,0.02,6.66,4.39,1.13,0.41,3.03,8.72
India,"Financial Year (Apr - Mar), 2008",FINANCIAL SERVICES,,24.72,5.36,3.73,0.15,0.14,2.02,0.96,0.39,0.05,0.32,1.17
India,"Financial Year (Apr - Mar), 2010",PRIME MINISTER'S OFFICE,,9.2,3.99,1,,0.18,2.26,2.29,0.11,0.16,0.26,1.15
India,"Financial Year (Apr - Mar), 2015",HIGHER EDUCATION,,28.27,33.35,4.16,,0.04,3.06,3.84,0.26,0.28,2.1,3.91
India,"Financial Year (Apr - Mar), 2013",WATER RESOURCES,,176.15,156.7,29.48,,0.23,30.81,16.58,2.07,0.23,4.6,16.69
India,"Financial Year (Apr - Mar), 2009",ANIMAL HUSBANDRY AND DAIRYING,,76.1,15.43,8.17,,1.05,5.34,3.79,1.09,0.06,2.48,4.54
India,"Financial Year (Apr - Mar), 2019",FINANCIAL SERVICES,,92.39,13.86,11.09,,0,5.64,2.38,0.68,0,0,5.87
India,"Financial Year (Apr - Mar), 2009",VICE PRESIDENT'S SECRETARIAT,,1.26,0.23,0.07,,0.05,0.11,0.03,0.02,0,0.01,0.09
India,"Financial Year (Apr - Mar), 2001",FERTILIZERS,,226.38,102.28,25.05,3.73,5.87,14.69,7.63,0.44,1.5,0.07,4.15
India,"Financial Year (Apr - Mar), 2002",LABOUR,,6756.21,3154.57,638.35,132.48,29.1,362.27,406.67,156.42,16.17,230.38,137.28
India,"Financial Year (Apr - Mar), 2018",COAL,,13.53,1.17,1.93,,0,1.53,1.24,0.07,0,0.17,0.87
India,"Financial Year (Apr - Mar), 2007",LABOUR AND EMPLOYMENT,,86.86,32.97,9.85,1.57,0.16,5.8,7.39,1.51,0.24,1.88,1.49
India,"Financial Year (Apr - Mar), 2014",REVENUE,,2372.14,2435.68,380.54,,8.25,283.75,105.52,20.07,2.42,67.81,265.5
India,"Financial Year (Apr - Mar), 2018",HEALTH RESEARCH,,1.93,0.16,0.29,,0,0.15,0.11,0.01,0,0.03,0.16
India,"Financial Year (Apr - Mar), 2016",WOMEN AND CHILD DEVELOPMENT,,22.57,6.33,1.67,,0.01,1.51,0.78,0.25,0.05,1.7,1.79
India,"Financial Year (Apr - Mar), 2017",EXPENDITURE,,75.43,3.27,7.53,,0.02,4.25,2.3,0.32,0.3,2.98,4.46
India,"Financial Year (Apr - Mar), 2002",REVENUE,,69595.94,35299.58,9826.31,1535.23,1533.18,4047.95,3490.74,1904.47,151.96,838.29,1545.77
India,"Financial Year (Apr - Mar), 2020",SOCIAL JUSTICE AND EMPOWERMENT,,32.08,5.45,5.23,,0.02,2.91,0.93,0.19,0.16,1.6,2.59
India,"Financial Year (Apr - Mar), 2006",YOUTH AFFAIRS AND SPORTS,,4.22,1.17,0.61,0.07,0.1,0.31,1.02,0.08,0.01,0.02,0.06
India,"Financial Year (Apr - Mar), 2000",INDUSTRIAL DEVELOPMENT,,2281.54,913.98,296.54,54.63,62.81,99.72,68.32,54.29,8.18,13.68,60.04
India,"Financial Year (Apr - Mar), 2015",AYUSH,,4.44,5.24,0.83,,0,1.48,1.44,0.02,0.01,0.69,0.78
India,"Financial Year (Apr - Mar), 2017",INFORMATION TECHNOLOGY,,663.43,32.73,35.21,,0.06,30,7.84,0.5,0.88,12.01,34.57
India,"Financial Year (Apr - Mar), 2003",TOURISM,,366.23,209.8,64.54,10.58,4.73,32.05,89.91,9.38,3.68,0,11.15
India,"Financial Year (Apr - Mar), 2019",RURAL DEVELOPMENT,,26.17,3.93,3.14,,0,2.34,2.68,0.22,0.68,1.73,2.29
India,"Financial Year (Apr - Mar), 2018",DEFENCE ( CIVIL ),,20679.53,1861.15,2365.61,,810.97,1225.85,290.41,197.71,4.45,625.75,1361.64
India,"Financial Year (Apr - Mar), 2010",TEXTILES,,81.8,33.48,13.88,,0.03,6.69,7.08,1.12,0.01,2.95,8.84
India,"Financial Year (Apr - Mar), 2002",POWER,,2093.85,1062.13,223.41,34.69,45.84,137.49,203.46,35.62,2.56,24.93,35.75
India,"Financial Year (Apr - Mar), 2006",HEAVY INDUSTRY,,2.87,0.81,0.46,0.07,0.07,0.27,0.67,0.05,0.04,0.07,0.08
India,"Financial Year (Apr - Mar), 2000",RURAL DEVELOPMENT,,537.68,214.74,82.43,16.91,19.84,25.84,89.07,12.41,7.6,1.14,18.48
India,"Financial Year (Apr - Mar), 2016",PRESIDENT'S SECRETARIAT,,13.33,3.4,0.24,,0.08,0.92,0.01,0.2,0.14,0.51,1.19
India,"Financial Year (Apr - Mar), 2013",PRIME MINISTER'S OFFICE,,9.27,8.16,1.03,,0.16,1.33,1.34,0.1,0.14,0.1,1.48
India,"Financial Year (Apr - Mar), 2007",ATOMIC ENERGY,,451.92,175.29,42.91,6.77,16.75,48.64,22.94,10.54,0.44,17,2.47
India,"Financial Year (Apr - Mar), 2019",STEEL,,16.11,2.26,1.8,,0,1.28,1.71,0.09,0.09,0.66,0.93
India,"Financial Year (Apr - Mar), 2015",VICE PRESIDENT'S SECRETARIAT,,0.87,1.03,0.06,,0.05,0.21,0.05,0.01,0,0,0.2
India,"Financial Year (Apr - Mar), 2014",SCHOOL EDUCATION AND LITERACY,,6.48,6.67,1.02,,0.01,0.19,0.91,0.12,0.06,0.38,1.26
India,"Financial Year (Apr - Mar), 2012",ATOMIC ENERGY,,908.19,591.73,92.3,,31.71,423.37,46.49,0,0.29,46.28,86.75
India,"Financial Year (Apr - Mar), 2013",PETROLEUM AND NATURAL GAS,,7.22,6.35,1.11,,0.04,0.5,1.07,0.05,0.1,0.06,1.05
India,"Financial Year (Apr - Mar), 2014",POWER,,35.87,37.67,5.27,,0.02,5.37,3.25,0.23,0.15,3.76,5.55
India,"Financial Year (Apr - Mar), 2021",AGRICULTURE AND FARMERS WELFARE,,215.7,56.08,29.98,,0.02,15.45,11.65,0.94,0.35,5.9,16.02
India,"Financial Year (Apr - Mar), 2016",LAND RESOURCES,,6.77,1.69,0.45,,0,0.81,0.24,0.04,0.03,0.28,0.58
India,"Financial Year (Apr - Mar), 2012","PERSONNEL , PUBLIC GRIEVANCES AND PENSIONS",,152.9,104.1,23.7,,0.11,93.27,18.61,2.21,0.46,3.45,20.3
India,"Financial Year (Apr - Mar), 2021",HEAVY INDUSTRY,,12.5,3.23,1.68,,0,0.85,0.39,0.11,0.01,0.8,0.97
India,"Financial Year (Apr - Mar), 2013",FINANCIAL SERVICES,,25.52,22.79,5.09,,0.12,5.16,1.45,0.31,0.06,0,2.24
India,"Financial Year (Apr - Mar), 2002",ENVIRONMENT AND FORESTS,,3601.3,1821.57,407.94,58.76,73.02,252.44,239.41,90.79,7.57,40.74,61.58
India,"Financial Year (Apr - Mar), 2012",ROAD TRANSPORT AND HIGHWAYS,,40.03,29.05,7.64,,0.07,4.21,4.32,0.57,0,0.43,4.85
